停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,FLRCOMP_1,2024/05/30 08:33:23.9851,2024/05/30 08:35:19.1675,1:55.1824,JSS_WE,FLRCOMP,WhiteBody:3225
故障,liquidWrapping_1,2024/05/30 08:45:11.2774,2024/05/30 08:45:32.5666,21.2891,JSS_PA,liquidWrapping,WhiteBody:2611
故障,sealerOV_1,2024/05/30 08:45:24.0645,2024/05/30 08:45:40.3000,16.2355,JSS_PA,sealerOV,WhiteBody:2920
故障,substrateInspectione_1,2024/05/30 08:47:15.6106,2024/05/30 08:47:41.6811,26.0705,JSS_PA,substrateInspectione,WhiteBody:2897
故障,F_1,2024/05/30 08:46:23.3696,2024/05/30 08:47:52.0785,1:28.7089,JSS_AF,F,WhiteBody:2359
故障,BRAZE_1,2024/05/30 08:47:32.4539,2024/05/30 08:47:58.7949,26.3410,JSS_WE,BRAZE,WhiteBody:3202
故障,substrateInspectione_1,2024/05/30 08:48:21.0427,2024/05/30 08:48:29.2454,8.2027,JSS_PA,substrateInspectione,WhiteBody:2898
故障,A_1,2024/05/30 08:48:24.5882,2024/05/30 08:48:53.8159,29.2277,JSS_AF,A,WhiteBody:2522
故障,FRFLR_1,2024/05/30 08:48:11.3473,2024/05/30 08:49:00.4597,49.1124,JSS_WE,FRFLR,WhiteBody:3245
故障,F3_1,2024/05/30 08:49:21.9888,2024/05/30 08:49:34.0597,12.0709,JSS_WE,F3,WhiteBody:3149
故障,sealer_1,2024/05/30 08:47:57.2587,2024/05/30 08:49:53.4025,1:56.1439,JSS_PA,sealer,WhiteBody:2956
故障,FRFLR_1,2024/05/30 08:50:35.0160,2024/05/30 08:50:36.3295,1.3135,JSS_WE,FRFLR,WhiteBody:3247
故障,substrateInspectione_1,2024/05/30 08:50:57.0731,2024/05/30 08:51:21.3596,24.2864,JSS_PA,substrateInspectione,WhiteBody:2900
故障,TGSub_1,2024/05/30 08:51:40.4962,2024/05/30 08:51:58.2918,17.7955,JSS_WE,TGSub,SubPart:8537
故障,removeJig_1,2024/05/30 08:53:03.6914,2024/05/30 08:53:31.1351,27.4438,JSS_PA,removeJig,WhiteBody:2599
故障,substrateInspectione_1,2024/05/30 08:53:29.2313,2024/05/30 08:53:35.4137,6.1824,JSS_PA,substrateInspectione,WhiteBody:2902
故障,coatingInspection_1,2024/05/30 08:53:11.8736,2024/05/30 08:53:55.4588,43.5852,JSS_PA,coatingInspection,WhiteBody:2709
故障,FRFLR_1,2024/05/30 08:54:03.6454,2024/05/30 08:54:53.6527,50.0073,JSS_WE,FRFLR,WhiteBody:3250
機種CH,F2_1,2024/05/30 08:53:37.4573,2024/05/30 08:55:37.4573,2:00.0000,JSS_WE,F2,WhiteBody:3166
故障,substrateInspectione_1,2024/05/30 08:55:57.6522,2024/05/30 08:56:01.0293,3.3771,JSS_PA,substrateInspectione,WhiteBody:2905
故障,insertJig_1,2024/05/30 08:56:13.8414,2024/05/30 08:56:30.5127,16.6712,JSS_PA,insertJig,WhiteBody:3116
故障,substrateInspectione_1,2024/05/30 08:57:52.0950,2024/05/30 08:58:00.3280,8.2330,JSS_PA,substrateInspectione,WhiteBody:2907
故障,BRAZE_1,2024/05/30 08:58:01.2402,2024/05/30 08:58:16.4366,15.1965,JSS_WE,BRAZE,WhiteBody:3212
故障,coatingInspection_1,2024/05/30 08:58:32.3575,2024/05/30 08:58:37.6286,5.2712,JSS_PA,coatingInspection,WhiteBody:2713
故障,substrateInspectione_1,2024/05/30 08:58:52.5063,2024/05/30 08:59:01.6128,9.1065,JSS_PA,substrateInspectione,WhiteBody:2908
故障,F3_1,2024/05/30 08:59:33.5637,2024/05/30 08:59:41.3894,7.8257,JSS_WE,F3,WhiteBody:3158
故障,C_1,2024/05/30 08:57:53.2714,2024/05/30 08:59:50.4735,1:57.2021,JSS_AF,C,WhiteBody:2451
故障,F2_1,2024/05/30 08:59:44.2380,2024/05/30 08:59:59.2963,15.0582,JSS_WE,F2,WhiteBody:3170
故障,CROSSTAR_1,2024/05/30 09:01:10.3905,2024/05/30 09:01:44.0725,33.6820,JSS_WE,RRDOOR,SubPart:8560
故障,FRFLR_1,2024/05/30 09:01:23.9895,2024/05/30 09:02:15.3193,51.3298,JSS_WE,FRFLR,WhiteBody:3257
故障,coatingInspection_1,2024/05/30 09:02:12.6998,2024/05/30 09:02:17.7717,5.0719,JSS_PA,coatingInspection,WhiteBody:2717
故障,substrateInspectione_1,2024/05/30 09:02:10.2864,2024/05/30 09:02:22.1747,11.8883,JSS_PA,substrateInspectione,WhiteBody:2911
故障,liquidWrapping_1,2024/05/30 09:03:39.3238,2024/05/30 09:04:01.2822,21.9584,JSS_PA,liquidWrapping,WhiteBody:2629
故障,FRFLR_1,2024/05/30 09:05:10.8317,2024/05/30 09:05:20.6387,9.8071,JSS_WE,FRFLR,WhiteBody:3261
故障,INNFRM_GW_1,2024/05/30 09:05:44.0236,2024/05/30 09:08:27.6150,2:43.5914,JSS_WE,INNFRM_GW,WhiteBody:3233
故障,substrateInspectione_1,2024/05/30 09:08:18.4185,2024/05/30 09:08:35.6226,17.2041,JSS_PA,substrateInspectione,WhiteBody:2917
機種CH,F3_1,2024/05/30 09:07:14.5155,2024/05/30 09:09:14.5155,2:00.0000,JSS_WE,F3,WhiteBody:3166
故障,substrateInspectione_1,2024/05/30 09:09:44.3926,2024/05/30 09:10:17.8858,33.4932,JSS_PA,substrateInspectione,WhiteBody:2919
故障,CROSSTAR_1,2024/05/30 09:09:40.1576,2024/05/30 09:10:34.0211,53.8635,JSS_WE,RRDOOR,SubPart:8583
故障,sealer_1,2024/05/30 09:12:54.2166,2024/05/30 09:13:20.8905,26.6739,JSS_PA,sealer,WhiteBody:2979
故障,FLRCOMP_1,2024/05/30 09:14:37.5530,2024/05/30 09:15:30.8837,53.3307,JSS_WE,FLRCOMP,WhiteBody:3255
故障,CROSSTAR_1,2024/05/30 09:14:26.3606,2024/05/30 09:15:51.6635,1:25.3029,JSS_WE,RRDOOR,SubPart:8594
故障,coatingInspection_1,2024/05/30 09:15:41.7078,2024/05/30 09:15:51.7043,9.9966,JSS_PA,coatingInspection,WhiteBody:2730
故障,FRFLR_1,2024/05/30 09:16:10.4814,2024/05/30 09:16:51.2030,40.7216,JSS_WE,FRFLR,WhiteBody:3272
故障,sealer_1,2024/05/30 09:17:31.6436,2024/05/30 09:17:44.3157,12.6721,JSS_PA,sealer,WhiteBody:2983
故障,FLRCOMP_1,2024/05/30 09:16:59.6654,2024/05/30 09:17:57.3395,57.6741,JSS_WE,FLRCOMP,WhiteBody:3256
故障,substrateInspectione_1,2024/05/30 09:17:59.0917,2024/05/30 09:18:12.1963,13.1046,JSS_PA,substrateInspectione,WhiteBody:2926
故障,substrateInspectione_1,2024/05/30 09:19:57.0781,2024/05/30 09:20:10.9082,13.8301,JSS_PA,substrateInspectione,WhiteBody:2928
故障,C_1,2024/05/30 09:22:48.9251,2024/05/30 09:23:16.6062,27.6811,JSS_AF,C,WhiteBody:2474
故障,substrateInspectione_1,2024/05/30 09:23:52.9278,2024/05/30 09:23:55.4932,2.5654,JSS_PA,substrateInspectione,WhiteBody:2932
